task_id,project_id,task,status,due_date,est_min,outdoor,task_kind,checklist_id,owner,notes

T001,P006,Pay Walsenburg PD ticket,done,2026-06-19,15,N,one-off,,Kate,Paid 2026-06-19

T002,P001,Submit June Pav invoice + hard costs,done,2026-06-19,60,N,one-off,,Kate,Submitted 2026-06-19 · ntguilt/ · daily/2026-06-andrew-pricing-menu.md

T003,P004,Fund Valon + HOA for Jul 24,todo,2026-07-20,15,N,recurring,,Kate,~$1300 Valon + ~$600 HOA · fund by 20th · daily/sheets/mortgages.csv

T004,P004,Fund HELOC for Jul 24,todo,2026-07-20,15,N,recurring,,Kate,~$1500 · fund by 20th · daily/sheets/mortgages.csv

T005,P003,Get Andrew social passwords before vacation,done,2026-06-19,60,N,one-off,,Kate,Done · ntguilt/

T006,P005,Reschedule STD test to Denver or Springs,todo,2026-06-30,30,N,one-off,,Kate,Paid Cañon City · personal/README.md · Todoist: Operations

T007,P013,Deliver painting to Walsenburg art museum,holding,2026-07-18,45,Y,one-off,,Kate,holding 2026-07-04 · was due 2026-06-27 · P013 art · gilded-goose/ART-OPPORTUNITY-FINDER.md

T008,P010,Photograph building materials batch,todo,2026-07-15,120,Y,one-off,,Kate,Seasonal window · ebay-listings/README.md

T009,P011,Locate trailer hitch — buy new ball/hitch by Mon if not found,done,2026-06-23,120,Y,one-off,,Kate,Hitch on hand — personal/AVION-SALE-NOTES.md

T010,P011,Find iPad locker key,todo,2026-07-01,30,N,one-off,,Kate,personal/README.md

T011,P002,HubSpot form test + Workflow 1,todo,2026-07-07,45,N,one-off,,Kate,No ad spend if trust LOCKED · ntguilt/hubspot/SHOW-VALUE-SPRINT.md · Todoist: Operations

T012,P009,sync grants — next action from GRANTS-TRACKER,todo,2026-07-05,30,N,one-off,,Kate,lazy-goose-acres/README.md · gilded-goose/GRANTS-TRACKER.md · Todoist: Operations

T013,P010,Pack table + fan for drop-off,holding,2026-07-18,45,N,one-off,,Kate,holding 2026-07-04 · was due 2026-06-21 · ebay-listings/README.md

T014,P010,Find all sales + package shipments,holding,2026-07-18,90,N,one-off,,Kate,holding 2026-07-04 · was due 2026-06-21 · eBay pending

T015,P010,Drop off table + fan,holding,2026-07-18,60,Y,one-off,,Kate,holding 2026-07-04 · was due 2026-06-22 · ebay-listings/README.md

T016,P005,Empty toilet,done,2026-06-12,10,N,trip_prep,TRIP_PREP,Kate,Denver trip prep done

