,,,,,,,,
,,,,,,,,
,,,,,,,,
,Category,Billed?,Status,Project,Description,Cost Estimate,Invoice,Value Add
,,TRUE,Completed,Systems Audit & Cleanse,,,https://connect.intuit.com/portal/app/CommerceNetwork/view/scs-v1-5389a50dbcb14915903b7072c8887959f4285ae300c44675bd8974640046ac881f98787425da4ce09e5a70c5424d39ce?locale=en_US&utm_source=sharelink,
,,TRUE,Completed,Nurture Campaign - Client Onboarding,,,https://connect.intuit.com/portal/app/CommerceNetwork/view/scs-v1-5389a50dbcb14915903b7072c8887959f4285ae300c44675bd8974640046ac881f98787425da4ce09e5a70c5424d39ce?locale=en_US&utm_source=sharelink,
,,TRUE,Completed,Lead Operations - Lead Flow Optimization,,,,
,,TRUE,Completed,MX Record Error Documentation,,,https://connect.intuit.com/portal/app/CommerceNetwork/view/scs-v1-5389a50dbcb14915903b7072c8887959f4285ae300c44675bd8974640046ac881f98787425da4ce09e5a70c5424d39ce?locale=en_US&utm_source=sharelink,
,"Systems, access & technical cleanup",TRUE,Completed,Systems access audit,"Reviewed need for clean admin access across Google Ads, LSA, Google Business Profile, Analytics, Bluehost, WordPress, GoDaddy, Sitelock, and MyCase.","$1,500–$2,500",,
,"Systems, access & technical cleanup",TRUE,Completed,DNS/email outage triage,"Investigated Pav Law email outage, MX records, Google Workspace routing, Bluehost DNS, GoDaddy/Sitelock changes, and propagation issues.","$1,500–$3,000",,
,"Systems, access & technical cleanup",TRUE,Completed,Email recovery documentation,"Created practical documentation around root cause, resolution steps, and how to respond faster if email/DNS issues happen again.","$750–$1,500",,
,Google Business Profile,FALSE,Completed,GBP content optimization,"Updated public-facing profile content to better support ranking, service relevance, and conversion intent.","$750–$1,500",,
,Google Business Profile,FALSE,Completed,GBP service area cleanup,"Revised service areas, removed overly broad Colorado targeting, and aligned geography with likely high-value case areas.","$500–$1,000",,
,Google Business Profile,FALSE,Completed,GBP hours & contact updates,"Updated weekday/weekend hours, tested online service availability, opened texting, and pushed users toward stronger primary CTAs.","$500–$1,000",,
,Google Business Profile,FALSE,Completed,GBP social-link cleanup,"Removed inactive social links to reduce clutter and focus users on calling, texting, or contacting the firm.",$250–$500,,
,Local Services Ads,TRUE,Completed,LSA audit & optimization,"Reviewed LSA status, budget, spend, lead types, impressions, charged leads, CPL, job types, service areas, and ranking signals.","$2,500–$5,000",,
,Local Services Ads,TRUE,Completed,LSA targeting cleanup,Recommended keeping high-intent criminal defense job types and removing low-value traffic/general law/irrelevant service categories.,"$1,000–$2,000",,
,Local Services Ads,TRUE,Completed,LSA service-area strategy,"Refined county targeting around Denver, Arapahoe, Jefferson, Douglas, El Paso, Teller, and selective expansion areas.","$750–$1,500",,
,Local Services Ads,TRUE,Completed,LSA budget analysis,"Calculated spend pacing, weekly/monthly budget implications, CPL trends, and potential lead volume at higher budget levels.","$1,000–$2,000",,
,Local Services Ads,TRUE,Completed,LSA lead-quality review,"Evaluated phone vs. message leads, noted message quality, call priority, and whether increased budget made sense after optimization.","$750–$1,500",,
,Local Services Ads,TRUE,Completed,LSA operational guidance,"Clarified where to view spend, budget usage, lead status, call recordings, charged leads, and under-spend issues.","$500–$1,000",,
,Intake & sales process,FALSE,Completed,LSA call review,"Reviewed recorded LSA calls and identified script gaps around whether the caller was ready to retain, qualify, or needed follow-up.","$1,000–$2,000",,
,Intake & sales process,FALSE,Completed,Missed-call follow-up texts,"Wrote beginning-of-week, Friday/end-of-week, short, and longer follow-up message options to get prospects to respond.","$500–$1,000",,
,Strategy & project leadership,FALSE,Completed,Client update emails & positioning,"Wrote polished client-facing strategy updates, sponsorship outreach messages, staffing notes, and internal recommendations.","$1,000–$2,000",,
,"Systems, access & technical cleanup",FALSE,Completed,Website issue review,"Identified website risk, contact-form destination concerns, dead links, technical drag, backlink/deep-linking needs, and rebuild considerations.","$1,000–$2,500",,
,Intake & sales process,FALSE,Queue,Traffic intake script,Built practical intake-call reference language for Romina around traffic/criminal defense callers.,"$750–$1,500",,
,Events & partnership strategy,FALSE,WIP,Event sponsorship outreach,"Wrote messages asking publications and event organizers about sponsorship options, inclusions, media kits, and marketing details.","$750–$1,500",,
,Events & partnership strategy,FALSE,Queue,Vendor/partner audience strategy,"Defined why Pav Law should talk with vendors and business owners at events, especially those connected to higher-net-worth audiences.","$750–$1,500",,
,Events & partnership strategy,FALSE,WIP,Target audience profiles,"Developed audience segments including reckless/carefree drivers, high-profile business owners, and event-based referral partners.","$1,000–$2,000",,
,Events & partnership strategy,FALSE,WIP,Booth experience planning,"Researched relaxed, higher-end booth concepts including soft seating, carts, coolers, inflatable options, and living-room-style activation ideas.","$1,000–$2,500",,
,NTGUILT brand campaign,FALSE,WIP,NTGUILT campaign concept,"Built the broader car-show/racing legal-awareness campaign around the 1969 Corvette, NTGUILT plate, Pav Law, and memorable brand recall.","$2,000–$4,000",,
,NTGUILT brand campaign,FALSE,Queue,Promo video concept,"Wrote video direction using Corvette imagery, Colorado motorsports scenes, Pav Law booth, plate closeups, and brand overlays.","$750–$1,500",,
,NTGUILT brand campaign,FALSE,Queue,Visual prompt development,"Created detailed image prompts for Corvette, license plate, window tint, Pav Law tire-table, peacock-feather tint, and booth materials.","$1,500–$3,000",,
